# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
EU-15,13,Douro,DouroR,74,1975,0.06811,0.03204,1
EU-15,13,Ebro,EbroR,73,1975,0.05159,0.05796,1
EU-15,13,Elbe,ElbeR,31,1975,0.03682959,0.04537,15
EU-15,13,England_and_Wales,EngWales,26,1975,0.019975305,0.58783,3.186
EU-15,13,Finland,Finland,13,1975,0.050734635,0.15224,1.046
EU-15,13,Gironde,Gironde,64,1975,0.05434779,0.21183,1.356
EU-15,13,Italy_East_Coast,ItalyCstE,50,1975,0.0226,0.04571,1
EU-15,13,Italy_West_Coast,ItalyCstW,59,1975,0.019483905,0.04278,13.366
EU-15,13,Po,PoR,57,1975,0.34839,0.62914,1.935
EU-15,13,Rhine,RhineR,32,1975,0.10819011,0.0355,3.04
EU-15,13,Rhone,RhoneR,62,1975,0.17839,0.39219,1.342
EU-15,13,Scotland,Scotland,16,1975,0.03524,1.15634,2.678
EU-15,13,Spain_Portugal_Atlantic_Coast,IberiaCst,60,1975,0.056475195,0.12197,3.812
EU-15,13,Spain_South_and_East_Coast,SpainCstSE,67,1975,0.0328146,0.04306,9.693
EU-15,13,Sweden,Sweden,12,1975,0.25010538,1.56559,2.961
EU-15,13,Tagus,TagusR,71,1975,0.018798045,0.04471,10.582
Europe_Eastern,14,Dnieper,DnieperR,39,1975,0.036111075,0.04199,15
Europe_Eastern,14,Dniester,DniesterR,49,1975,0.012376665,0.14194,15
Europe_Non_EU,15,Black_Sea_South_Coast,BlackSeaS,70,1975,0.17842,1.34055,2.208
Europe_Non_EU,15,Caspian_Sea_South_West_Coast,CaspianSW,72,1975,0.01888,0.28084,2.05
Europe_Non_EU,15,Danube,DanubeR,54,1975,0.06000624,0.37506,1.13
Europe_Non_EU,15,Mediterranean_Sea_East_Coast,MeditE,75,1975,0.028274295,0.75376,5.636
Europe_Non_EU,15,Tigris_Euphrates,TigrEuphR,84,1975,0.125754825,0.06876,1
European Free Trade Association,16,Danube,DanubeR,54,1975,0.01641,0.02934,12.136
European Free Trade Association,16,Iceland,Iceland,11,1975,0.08927,0.81302,1.794
European Free Trade Association,16,Po,PoR,57,1975,0.04923,0.03776,2.365
European Free Trade Association,16,Rhine,RhineR,32,1975,0.11095,0.13616,1
European Free Trade Association,16,Rhone,RhoneR,62,1975,0.07996,0.09056,2.036
European Free Trade Association,16,Scandinavia_North_Coast,ScndnvN,8,1975,0.557304615,1.6727,3.035
European Free Trade Association,16,Sweden,Sweden,12,1975,0.01812,0.02095,1
India,17,Cauvery,CauveryR,153,1975,0.0495,0.14238,1
